ACU	ACURA
MITAI	MITSUBISHI MONTERO 
MITAJ	MITSUBISHI MONTERO SPORT
MITAK	MITSUBISHI PICKUP
MITAL	MITSUBISHI PRECIS
MITAM	MITSUBISHI SIGMA
MITAN	MITSUBISHI STARION
MITAO	MITSUBISHI TREDIA
MITAP	MITSUBISHI LANCER
MITAQ	MITSUBISHI OUTLANDER
MITXX	MITSUBISHI unspecified
NIS	NISSAN 
NISAA	NISSAN 200SX 
NISAB	NISSAN 240SX
NISAC	NISSAN 300ZX 
NISAD	NISSAN ALTIMA 
NISAE	NISSAN AXXESS
NISAF	NISSAN FRONTIER
NISAG	NISSAN MAXIMA 
NISAH	NISSAN MINIVAN
NISAI	NISSAN NX
NISAJ	NISSAN PATHFINDER 
NISAK	NISSAN PICKUP
NISAL	NISSAN PULSAR
NISAM	NISSAN QUEST
NISAN	NISSAN SENTRA 
NISAO	NISSAN STANZA
NISAP	NISSAN XTERRA
NISAQ	NISSAN MURANO
NISAR	NISSAN 350Z
NISAS	NISSAN TITAN
NISXX	NISSAN unspecified
OLD	OLDSMOBILE 
OLDAA	OLDSMOBILE 88
OLDAB	OLDSMOBILE 98
OLDAC	OLDSMOBILE ACHIEVA
OLDAD	OLDSMOBILE ALERO
OLDAE	OLDSMOBILE AURORA
OLDAF	OLDSMOBILE BRAVADA
OLDAG	OLDSMOBILE CALAIS
OLDAH	OLDSMOBILE CIERA
OLDAI	OLDSMOBILE CUSTOM CRUISER
OLDAJ	OLDSMOBILE CUTLASS CRUISER
OLDAK	OLDSMOBILE CUTLASS SUPREME
OLDAL	OLDSMOBILE DELTA 88
OLDAM	OLDSMOBILE FIRENZA
OLDAN	OLDSMOBILE INTRIGUE
OLDAO	OLDSMOBILE LSS
OLDAP	OLDSMOBILE REGENCY
OLDAQ	OLDSMOBILE SILHOUETTE
OLDAR	OLDSMOBILE TORONADO
OLDAS	OLDSMOBILE CUTLASS
OLDXX	OLDSMOBILE unspecified
PLY	PLYMOUTH 
PLYAA	PLYMOUTH ACCLAIM
PLYAB	PLYMOUTH BREEZE
PLYAC	PLYMOUTH CARAVELLE
PLYAD	PLYMOUTH COLT 
PLYAE	PLYMOUTH COLT VISTA
PLYAF	PLYMOUTH CONQUEST 
PLYAG	PLYMOUTH GRAND FURY 
PLYAH	PLYMOUTH GRAND VOYAGER
PLYAI	PLYMOUTH HORIZON
PLYAK	PLYMOUTH LASER
PLYAL	PLYMOUTH NEON
PLYAM	PLYMOUTH PROWLER
PLYAN	PLYMOUTH RELIANT
PLYAP	PLYMOUTH SUNDANCE
PLYAQ	PLYMOUTH TURISMO 
PLYAR	PLYMOUTH VOYAGER 
PLYXX	PLYMOUTH unspecified
PON	PONTIAC 
PONAA	PONTIAC 1000
PONAB	PONTIAC 6000 
PONAC	PONTIAC BONNEVILLE 
PONAD	PONTIAC FIERO 
PONAE	PONTIAC FIREBIRD 
PONAF	PONTIAC GRAND AM 
PONAG	PONTIAC GRAND PRIX 
PONAH	PONTIAC LEMANS
PONAI	PONTIAC MONTANA
PONAJ	PONTIAC PARISIANNE 
PONAK	PONTIAC SAFARI
PONAL	PONTIAC SUNBIRD 
PONAM	PONTIAC SURFIRE 
PONAN	PONTIAC TRANS SPORT
PONAO	PONTIAC GTO
PONAP	PONTIAC VIBE
PONAQ	PONTIAC AZTEC
PONXX	PONTIAC unspecified
POR	PORSCHE 
PORAA	PORSCHE 911 
PORAB	PORSCHE 924
PORAC	PORSCHE 928
PORAD	PORSCHE 944 
PORAE	PORSCHE 968
PORAF	PORSCHE BOXSTER
PORAG	PORSCHE CAYENNE
PORXX	PORSCHE unspecified
SAA	SAAB 
SAAAA	SAAB 9-3
SAAAB	SAAB 9-5
SAAAC	SAAB 900 
SAAAD	SAAB 9000
SAAXX	SAAB unspecified
SAT	SATURN 
SATAA	SATURN LS
SATAB	SATURN LW
SATAC	SATURN SC
SATAD	SATURN SL
SATAE	SATURN SW
SATAF	SATURN ION
SATAG	SATURN VUE
SATXX	SATURN unspecified
SUB	SUBARU 
SUBAA	SUBARU BRAT
SUBAB	SUBARU DL 
SUBAC	SUBARU FORESTER
SUBAD	SUBARU GL 
SUBAE	SUBARU GL-10
SUBAF	SUBARU IMPREZA
SUBAG	SUBARU JUSTY
SUBAH	SUBARU LEGACY
SUBAI	SUBARU LOYALE
SUBAJ	SUBARU BAJA
SUBAK	SUBARU STD
SUBAL	SUBARU SVX
SUBAM	SUBARU XT
SUBAN	SUBARU OUTBACK
SUBXX	SUBARU unspecified
SUZ	SUZUKI
SUZAA	SUZUKI ESTEEM
SUZAB	SUZUKI GRAND VITARA
SUZAC	SUZUKI SAMURAI 
SUZAD	SUZUKI SIDEKICK
SUZAE	SUZUKI SWIFT
SUZAF	SUZUKI VITARA
SUZAG	SUZUKI X-90
SUZAH	SUZUKI AERIO
SUZAI	SUZUKI XL-7
SUZXX	SUZUKI unspecified
TOY	TOYOTA 
TOYAA	TOYOTA 4RUNNER
TOYAB	TOYOTA AVALON
TOYAC	TOYOTA CAMRY 
TOYAD	TOYOTA CAMRY SOLARA
TOYAE	TOYOTA CELICA 
TOYAF	TOYOTA COROLLA 
TOYAG	TOYOTA CRESSIDA 
TOYAH	TOYOTA LAND CRUISER
TOYAI	TOYOTO MINIVAN
TOYAJ	TOYOTA MR2 
TOYAK	TOYOTA PASEO 
TOYAL	TOYOTA PICKUP
TOYAM	TOYOTO PREVIA
TOYAN	TOYOTA RAV4
TOYAO	TOYOTA SIENNA
TOYAP	TOYOTA SUPRA
TOYAQ	TOYOTA T100
TOYAR	TOYOTA TACOMA
TOYAS	TOYOTA TERCEL 
TOYAT	TOYOTA TUNDRA
TOYAU	TOYOTA HIGHLANDER
TOYAV	TOYOTA MATRIX
TOYAW	TOYOTA SEQUOIA
TOYAX	TOYOTA PRIUS
TOYAY	TOYOTA ECHO
TOYXX	TOYOTA unspecified
VOK	VOLKSWAGEN 
VOKAA	VOLKSWAGEN CABRIO
VOKAB	VOLKSWAGEN CABRIOLET
VOKAC	VOLKSWAGEN CORRADO
VOKAD	VOLKSWAGEN EUROVAN
VOKAE	VOLKSWAGEN FOX
VOKAF	VOLKSWAGEN GOLF 
VOKAG	VOLKSWAGEN TOUAREG
VOKAH	VOLKSWAGEN GTI 
VOKAI	VOLKSWAGEN JETTA 
VOKAJ	VOLKSWAGEN NEW BEETLE
VOKAK	VOLKSWAGEN PASSAT
VOKAL	VOLKSWAGEN QUANTUM 
VOKAM	VOLKSWAGEN SCIROCCO 
VOKAN	VOLKSWAGEN VANAGEN 
VOKAO	VOLKSWAGEN PHAETON
VOKXX	VOLKSWAGEN unspecified
VOV	VOLVO 
VOVAA	VOLVO 240
VOVAB	VOLVO 740 
VOVAC	VOLVO 760
VOVAD	VOLVO 780
VOVAE	VOLVO 850
VOVAF	VOLVO 940
VOVAG	VOLVO 960
VOVAH	VOLVO C70
VOVAI	VOLVO COUPE
VOVAJ	VOLVO DL
VOVAK	VOLVO GL 
VOVAL	VOLVO S70
VOVAM	VOLVO S90
VOVAN	VOLVO V70
VOVAO	VOLVO V90
VOVAP	VOLVO TURBO
VOVAQ	VOLVO XC90
VOVAR	VOLVO S40
VOVAS	VOLVO S60
VOVAT	VOLVO V40
VOVXX	VOLVO unspecified
XXXXX	Unspecified Make/Model
